player_id,player_name,team,date,opponent,result,rushing_attempts,rushing_yards,rushing_avg,rushing_td,rushing_lng,receiving_receptions,receiving_targets,receiving_yards
3043078,Derrick Henry,bal,Sun 9/28,@KC,L37-20,8.0,42.0,5.3,0.0,14.0,2,3.0,16.0
3043078,Derrick Henry,bal,Sun 10/5,vsHOU,L44-10,15.0,33.0,2.2,1.0,7.0,0,1.0,0.0
3043078,Derrick Henry,bal,Sun 10/12,vsLAR,L17-3,24.0,122.0,5.1,0.0,12.0,1,2.0,8.0
3043078,Derrick Henry,bal,Sun 10/26,vsCHI,W30-16,21.0,71.0,3.4,2.0,10.0,0,1.0,0.0
3043078,Derrick Henry,bal,Thu 10/30,@MIA,W28-6,19.0,119.0,6.3,0.0,35.0,1,1.0,2.0
3043078,Derrick Henry,bal,Sun 11/9,@MIN,W27-19,20.0,75.0,3.8,0.0,14.0,3,3.0,9.0
3043078,Derrick Henry,bal,Sun 11/16,@CLE,W23-16,18.0,103.0,5.7,1.0,59.0,2,2.0,19.0
3043078,Derrick Henry,bal,Sun 11/23,vsNYJ,W23-10,21.0,64.0,3.0,2.0,17.0,2,2.0,24.0
3043078,Derrick Henry,bal,Thu 11/27,vsCIN,L32-14,10.0,60.0,6.0,1.0,28.0,1,1.0,44.0
3043078,Derrick Henry,bal,Regular Season Stats,197,931,,,,,,142,,
3929630,Saquon Barkley,phi,Thu 9/4,vsDAL,W24-20,18.0,60.0,3.3,1.0,16.0,4,5.0,24.0
3929630,Saquon Barkley,phi,Sun 9/14,@KC,W20-17,22.0,88.0,4.0,1.0,13.0,2,2.0,6.0
3929630,Saquon Barkley,phi,Sun 9/21,vsLAR,W33-26,18.0,46.0,2.6,0.0,12.0,4,5.0,9.0
3929630,Saquon Barkley,phi,Sun 9/28,@TB,W31-25,19.0,43.0,2.3,1.0,10.0,4,4.0,31.0
3929630,Saquon Barkley,phi,Sun 10/5,vsDEN,L21-17,6.0,30.0,5.0,0.0,17.0,3,3.0,58.0
